epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
36,89.2342,0.81379,1.8507,1.47509,0.0079,0.53617,0.65779,0.53254,0.54796,0.37014,0.73512,0.68254,0.69088,0.29325,1.78526,3.02496,1.46473,0.01385,0,2.72183e-05,2.72183e-05,2.72183e-05
37,91.6651,1.22452,2.6152,1.81101,0.02115,0.37781,0.5981,0.55,0.54446,0.35404,0.67636,0.7,0.68452,0.292,1.80685,3.05704,1.49544,0.01398,0,2.75718e-05,2.75718e-05,2.75718e-05
38,94.0632,1.15441,1.97099,1.69771,0.01234,0.48915,0.5981,0.55,0.54446,0.35404,0.67636,0.7,0.68452,0.292,1.80685,3.05704,1.49544,0.01398,0,2.79018e-05,2.79018e-05,2.79018e-05
39,96.6313,0.97343,2.51591,2.41779,0.01245,0.6099,0.58926,0.55,0.53421,0.35116,0.58926,0.55,0.52827,0.27417,1.78623,3.06253,1.59597,0.0139,0,2.82082e-05,2.82082e-05,2.82082e-05
40,99.0527,1.26343,2.21813,2.39729,0.01602,0.28751,0.58926,0.55,0.53421,0.35116,0.58926,0.55,0.52827,0.27417,1.78623,3.06253,1.59597,0.0139,0,2.84911e-05,2.84911e-05,2.84911e-05
41,101.543,0.85905,1.92424,1.6782,0.00905,0.35902,0.5965,0.55,0.52768,0.34399,0.5965,0.55,0.52452,0.25384,1.82038,3.08672,1.55618,0.01405,0,2.87504e-05,2.87504e-05,2.87504e-05
42,103.98,0.92681,1.87124,1.39243,0.01092,0.35166,0.5965,0.55,0.52768,0.34399,0.5965,0.55,0.52452,0.25384,1.82038,3.08672,1.55618,0.01405,0,2.89861e-05,2.89861e-05,2.89861e-05
43,106.5,0.69264,1.66419,3.03164,0.00917,0.55434,0.7292,0.43333,0.53079,0.34622,0.7292,0.43333,0.53041,0.25607,1.82246,3.11283,1.59196,0.01408,0,2.91983e-05,2.91983e-05,2.91983e-05
44,108.934,0.93864,1.99237,1.09181,0.01173,0.37591,0.7292,0.43333,0.53079,0.34622,0.7292,0.43333,0.53041,0.25607,1.82246,3.11283,1.59196,0.01408,0,2.93869e-05,2.93869e-05,2.93869e-05
45,111.366,0.62226,1.61919,1.05981,0.0089,0.35066,0.73303,0.43333,0.5319,0.33908,0.73303,0.43333,0.52911,0.25241,1.79541,3.23771,1.65918,0.01391,0,2.9552e-05,2.9552e-05,2.9552e-05
46,113.765,1.03621,2.27594,1.80365,0.00951,0.29703,0.73303,0.43333,0.5319,0.33908,0.73303,0.43333,0.52911,0.25241,1.79541,3.23771,1.65918,0.01391,0,2.96935e-05,2.96935e-05,2.96935e-05
47,116.277,0.97182,1.8299,1.33789,0.00947,0.27726,0.72936,0.43333,0.5365,0.341,0.72936,0.43333,0.5337,0.25441,1.80146,3.26175,1.66378,0.01396,0,2.98114e-05,2.98114e-05,2.98114e-05
48,118.728,0.81851,1.87793,1.32223,0.00856,0.42082,0.72936,0.43333,0.5365,0.341,0.72936,0.43333,0.5337,0.25441,1.80146,3.26175,1.66378,0.01396,0,2.99058e-05,2.99058e-05,2.99058e-05
49,121.284,0.96893,1.95039,1.43502,0.00954,0.31668,0.7107,0.42902,0.54114,0.34073,0.70629,0.43333,0.53242,0.25439,1.80085,3.29046,1.70062,0.01413,0,2.99766e-05,2.99766e-05,2.99766e-05
50,123.701,0.90451,2.05216,1.46407,0.0084,0.35334,0.7107,0.42902,0.54114,0.34073,0.70629,0.43333,0.53242,0.25439,1.80085,3.29046,1.70062,0.01413,0,3.00238e-05,3.00238e-05,3.00238e-05
51,126.177,0.78425,1.93398,1.38924,0.00723,0.33655,0.69703,0.43333,0.5313,0.33779,0.69253,0.43333,0.52511,0.25211,1.79923,3.31842,1.70824,0.01421,0,3.00475e-05,3.00475e-05,3.00475e-05
52,128.623,1.13678,1.60453,1.4003,0.009,0.27049,0.69703,0.43333,0.5313,0.33779,0.69253,0.43333,0.52511,0.25211,1.79923,3.31842,1.70824,0.01421,0,3.00476e-05,3.00476e-05,3.00476e-05
53,131.026,0.92797,2.04216,1.06859,0.01282,0.40788,0.69703,0.43333,0.5313,0.33779,0.69253,0.43333,0.52511,0.25211,1.79923,3.31842,1.70824,0.01421,0,3.00242e-05,3.00242e-05,3.00242e-05
54,133.449,0.80065,1.80368,1.43862,0.0081,0.31034,0.71744,0.43333,0.52847,0.33683,0.71744,0.43333,0.52609,0.25055,1.81238,3.38742,1.73601,0.01428,0,2.99772e-05,2.99772e-05,2.99772e-05
55,135.886,0.76882,2.30548,1.14738,0.00576,0.24674,0.71744,0.43333,0.52847,0.33683,0.71744,0.43333,0.52609,0.25055,1.81238,3.38742,1.73601,0.01428,0,2.99066e-05,2.99066e-05,2.99066e-05
56,138.335,0.82689,1.55834,1.19182,0.00675,0.22547,0.71744,0.43333,0.52847,0.33683,0.71744,0.43333,0.52609,0.25055,1.81238,3.38742,1.73601,0.01428,0,2.98125e-05,2.98125e-05,2.98125e-05
57,140.831,0.64622,1.58976,0.88046,0.00532,0.27065,0.72045,0.43333,0.53834,0.33027,0.70956,0.43333,0.53358,0.25348,1.84827,3.33379,1.66657,0.0145,0,2.96948e-05,2.96948e-05,2.96948e-05
58,143.237,0.95244,1.88852,1.27467,0.00913,0.36571,0.72045,0.43333,0.53834,0.33027,0.70956,0.43333,0.53358,0.25348,1.84827,3.33379,1.66657,0.0145,0,2.95535e-05,2.95535e-05,2.95535e-05
59,145.674,1.15792,1.6817,1.26514,0.01688,0.21473,0.72045,0.43333,0.53834,0.33027,0.70956,0.43333,0.53358,0.25348,1.84827,3.33379,1.66657,0.0145,0,2.93887e-05,2.93887e-05,2.93887e-05
60,148.086,0.91197,1.70094,1.65394,0.01308,0.39016,0.88942,0.43333,0.53888,0.33015,0.87714,0.43333,0.53174,0.25405,1.85595,3.38454,1.68944,0.01458,0,2.92003e-05,2.92003e-05,2.92003e-05
61,150.52,0.72943,1.71675,0.7827,0.00649,0.24796,0.88942,0.43333,0.53888,0.33015,0.87714,0.43333,0.53174,0.25405,1.85595,3.38454,1.68944,0.01458,0,2.89884e-05,2.89884e-05,2.89884e-05
62,152.888,0.7888,1.53513,0.8588,0.01008,0.24523,0.88942,0.43333,0.53888,0.33015,0.87714,0.43333,0.53174,0.25405,1.85595,3.38454,1.68944,0.01458,0,2.87529e-05,2.87529e-05,2.87529e-05
